ancho ,alto ,largo,tipo de caja
20,24,105,caja pequena
14,26,108,caja pequena
18,23,106,caja pequena
9,23,110,caja pequena
16,28,103,caja pequena
14,28,103,caja pequena
12,28,110,caja pequena
6,26,106,caja pequena
18,29,107,caja pequena
18,30,102,caja pequena
10,23,101,caja pequena
5,27,107,caja pequena
15,28,105,caja pequena
20,22,108,caja pequena
5,20,107,caja pequena
11,29,102,caja pequena
7,27,110,caja pequena
12,26,107,caja pequena
17,22,105,caja pequena
13,29,106,caja pequena
15,24,103,caja pequena
20,24,102,caja pequena
7,22,107,caja pequena
20,22,109,caja pequena
16,24,101,caja pequena
18,23,107,caja pequena
9,21,104,caja pequena
8,24,105,caja pequena
12,21,101,caja pequena
6,22,102,caja pequena
19,30,110,caja pequena
20,26,101,caja pequena
19,20,101,caja pequena
8,27,102,caja pequena
20,20,100,caja pequena
9,25,110,caja pequena
11,28,103,caja pequena
11,26,110,caja pequena
11,23,106,caja pequena
11,26,106,caja pequena
12,21,100,caja pequena
7,29,110,caja pequena
15,22,100,caja pequena
12,24,103,caja pequena
10,23,105,caja pequena
17,22,109,caja pequena
20,24,100,caja pequena
13,29,100,caja pequena
14,24,108,caja pequena
10,30,109,caja pequena
6,22,100,caja pequena
5,21,101,caja pequena
8,24,110,caja pequena
6,29,103,caja pequena
5,25,108,caja pequena
8,22,101,caja pequena
18,30,106,caja pequena
6,30,105,caja pequena
20,20,100,caja pequena
16,26,103,caja pequena
18,25,110,caja pequena
6,20,109,caja pequena
16,22,102,caja pequena
10,29,106,caja pequena
16,28,100,caja pequena
14,29,102,caja pequena
12,27,107,caja pequena
16,21,103,caja pequena
9,24,102,caja pequena
12,24,108,caja pequena
5,24,100,caja pequena
18,23,101,caja pequena
17,23,100,caja pequena
15,25,105,caja pequena
11,29,102,caja pequena
16,20,103,caja pequena
17,27,100,caja pequena
17,28,107,caja pequena
11,26,110,caja pequena
17,24,106,caja pequena
16,25,104,caja pequena
8,21,109,caja pequena
20,28,107,caja pequena
11,30,106,caja pequena
6,28,107,caja pequena
9,26,104,caja pequena
19,30,102,caja pequena
18,26,101,caja pequena
10,27,104,caja pequena
14,23,108,caja pequena
16,27,110,caja pequena
16,20,100,caja pequena
16,30,105,caja pequena
17,24,100,caja pequena
20,20,102,caja pequena
19,24,100,caja pequena
12,27,101,caja pequena
7,20,101,caja pequena
9,21,110,caja pequena
17,28,106,caja pequena
13,20,110,caja pequena
8,27,107,caja pequena
17,25,103,caja pequena
14,26,106,caja pequena
9,22,110,caja pequena
15,26,103,caja pequena
14,24,103,caja pequena
14,22,102,caja pequena
16,26,101,caja pequena
5,25,100,caja pequena
10,22,106,caja pequena
9,21,101,caja pequena
8,21,105,caja pequena
15,20,106,caja pequena
5,22,102,caja pequena
14,26,110,caja pequena
7,29,106,caja pequena
13,30,100,caja pequena
18,26,109,caja pequena
17,28,101,caja pequena
16,30,100,caja pequena
9,20,106,caja pequena
14,29,102,caja pequena
5,30,100,caja pequena
19,21,103,caja pequena
5,28,101,caja pequena
6,24,104,caja pequena
5,22,105,caja pequena
11,21,109,caja pequena
9,22,109,caja pequena
15,22,100,caja pequena
8,24,100,caja pequena
5,28,110,caja pequena
5,29,101,caja pequena
8,26,102,caja pequena
8,21,101,caja pequena
11,29,103,caja pequena
8,26,100,caja pequena
10,26,105,caja pequena
17,30,100,caja pequena
19,26,103,caja pequena
7,23,102,caja pequena
11,26,109,caja pequena
12,20,107,caja pequena
10,20,110,caja pequena
7,29,100,caja pequena
8,20,105,caja pequena
12,28,101,caja pequena
13,24,102,caja pequena
14,20,102,caja pequena
18,26,100,caja pequena
18,23,105,caja pequena
14,22,107,caja pequena
10,30,108,caja pequena
8,22,104,caja pequena
10,23,105,caja pequena
11,28,106,caja pequena
6,26,110,caja pequena
19,24,105,caja pequena
8,28,110,caja pequena
19,25,104,caja pequena
20,21,108,caja pequena
14,24,109,caja pequena
5,25,104,caja pequena
19,22,103,caja pequena
8,29,110,caja pequena
17,27,109,caja pequena
8,21,107,caja pequena
9,29,107,caja pequena
20,24,105,caja pequena
11,26,105,caja pequena
12,25,102,caja pequena
13,21,107,caja pequena
20,28,108,caja pequena
17,23,101,caja pequena
17,28,104,caja pequena
5,24,107,caja pequena
6,30,105,caja pequena
5,27,108,caja pequena
20,26,101,caja pequena
7,28,108,caja pequena
11,29,102,caja pequena
20,29,101,caja pequena
14,28,109,caja pequena
6,23,103,caja pequena
6,21,107,caja pequena
5,25,101,caja pequena
5,26,103,caja pequena
11,23,105,caja pequena
11,21,110,caja pequena
8,29,110,caja pequena
11,29,106,caja pequena
6,28,103,caja pequena
14,28,104,caja pequena
16,30,106,caja pequena
10,27,108,caja pequena
19,30,106,caja pequena
11,28,107,caja pequena
12,30,108,caja pequena
16,29,108,caja pequena
16,20,109,caja pequena
10,27,103,caja pequena
13,23,110,caja pequena
16,21,103,caja pequena
19,20,106,caja pequena
11,26,105,caja pequena
10,22,103,caja pequena
14,28,103,caja pequena
15,25,107,caja pequena
5,29,101,caja pequena
18,24,106,caja pequena
10,25,101,caja pequena
18,22,104,caja pequena
15,28,107,caja pequena
9,22,102,caja pequena
11,25,102,caja pequena
9,22,104,caja pequena
17,25,108,caja pequena
20,21,107,caja pequena
10,25,100,caja pequena
17,28,103,caja pequena
9,23,104,caja pequena
19,20,103,caja pequena
17,22,102,caja pequena
10,21,102,caja pequena
10,30,110,caja pequena
14,23,108,caja pequena
15,21,107,caja pequena
19,29,105,caja pequena
10,23,106,caja pequena
10,27,104,caja pequena
16,22,104,caja pequena
9,28,110,caja pequena
11,23,109,caja pequena
14,26,109,caja pequena
16,20,105,caja pequena
11,20,108,caja pequena
9,24,105,caja pequena
19,21,105,caja pequena
12,29,110,caja pequena
15,26,103,caja pequena
14,21,105,caja pequena
16,25,109,caja pequena
17,23,109,caja pequena
13,21,104,caja pequena
14,27,107,caja pequena
14,21,108,caja pequena
15,20,100,caja pequena
15,30,110,caja pequena
9,22,110,caja pequena
19,29,105,caja pequena
16,28,106,caja pequena
17,25,106,caja pequena
8,24,108,caja pequena
14,23,105,caja pequena
13,22,108,caja pequena
7,25,104,caja pequena
15,23,108,caja pequena
6,20,109,caja pequena
17,22,101,caja pequena
17,28,110,caja pequena
